Chip_ID,Wafer_X_Loc_mm,Wafer_Y_Loc_mm,Radial_Distance_mm,Test Flag,N_Contact_Area_um2,P_Contact_Area_um2,NP_Ratio_Check,Waveguide_Width_Avg_nm,Optical_Confinement_Factor_%,Grating_Coupler_Pitch_nm,DRC_Violations,Overall_Yield_Prediction
GA06,136.5,3.5,136.54,FALSE,1302.1,1309.73,Pass,469.7,84.9,629.6,0,Review
GA07,136.5,0,136.5,FALSE,1317.58,1282.4,Pass,468.8,85.72,632.5,0,Review
GA08,136.5,3.5,136.54,FALSE,1312.08,1325.83,Pass,474.2,84.79,628.6,0,Review
GA09,136.5,7,136.68,FALSE,1290.2,1282.96,Pass,474,85.57,630.3,5,Review
GA10,136.5,10.5,136.9,FALSE,1327.27,1324.89,Pass,473.8,87.18,627.3,0,Review
GA11,136.5,14,137.22,FALSE,1328.05,1280.99,Pass,463.8,85.12,630.5,0,Review
GA12,136.5,17.5,137.62,FALSE,1328.73,1281.39,Pass,469.3,85.6,630.5,0,Review
GA13,136.5,21,138.11,FALSE,1275.38,1292.87,Pass,472.3,85.69,633.8,0,Review
GA14,136.5,24.5,138.68,FALSE,1278.32,1298.17,Pass,471.6,84.81,630.6,0,Review
HA01,136.5,28,139.34,FALSE,1294.12,1319.67,Pass,470.1,85.34,631.1,0,Review

